Category;Rezept Name;Details;Aufwand (1 real cooking, 2 quick cooking, 3just heating);Gesund (1 bad, 2 neutral, 3 great);Soul (1 meh, 2 normal, satisfying);Main =1, Side =2, Dessert=3;Meal-Prep (0 no, 1yes);season (1=spring, 2,3,4)
Baking;Pancakes w Cheese/ham;;2;1;3;;;
Baking;Bread + Dip;;1;2;2;;;
Fish;Fishburger;;1;3;3;;;
Fish;Trout in Pan;;2;3;3;;;
Fish;Trout in Oven;;3;3;3;;;
Fish;Kibbeling;;1;2;3;;;
Fish;Salmon in Oven;;3;3;3;;;
Fish;Fishsticks;;3;2;3;;;
Fish;Zander Sahne Gratin (Knorr);;2;3;3;;;
Soup;Pumpkin Soup;;1;3;3;;1;
Soup;Broccoli Soup;;1;3;3;;1;
Soup;Carrot Soup;;1;3;3;;1;
Eintopf;Chilli Con Carne;;1;3;3;;1;
Pasta;Seafood Pasta;;1;3;3;;1;
Pasta;Chicken Pineapple Pasta;;1;3;3;;1;
Pasta;Spaghetti Carbonara (Knorr);;2;1;3;;;
Pasta;Zucchini Creme Pasta;;2;3;3;;1;
Pasta;Tuna Zucchini Tomato Pasta;;2;3;3;;1;
Just Oven;Sweet Potato;;3;3;2;;;
Just Oven;Potato Wedges;;2;2;2;;;
Just Oven;Baked Champignons;;3;3;1;;;
Just Oven;Baked Coliflaur;;3;3;1;;;
Just Oven;Baked Broccoli;;3;3;1;;;
Just Oven;Baked Zucchini;;3;3;1;;;
Just Oven;Sweet Potato Fries;;3;2;3;;;
Just Oven;Chicken Honey mustard;;2;3;3;;;
Just Oven;;;;;;;;
Pasta ;Spaghetti Bolognese (Knorr);;2;1;3;;;
Baking;Pizza Rolls;;2;1;3;;;
Casserole;Feta-Spinach-Noodle Cass;;2;3;3;;;
Casserole;Broccoli Cass;;2;3;3;;;
salad;Beetrot salad;;2;3;2;;;
salad;greek salad;;2;3;2;;;
eintopf;Mädis Eintopf;;1;3;3;;1;
Baking;Spätzle;;1;2;3;;;
Pasta;Pasta Geschnetzeltes  Züricher Art;;2;2;3;;;
Pasta;Pasta with Pesto;;2;2;2;;;
Basics;Fried Egg ;;3;3;1;;;
Basics;Scrambled Eggs, w körnige frischkäse;;3;3;1;;;
Basics;Scrambled Eggs w tomato/cheese;;3;3;2;;;
Basics;Scrambled Eggs w Zucchini;;3;3;2;;;
Basics;Scrambled Eggs w Feta;;3;3;2;;;
Basics;Scrambled Eggs w Champignons;;3;3;2;;;
Basics;Fried Champignons;;3;3;2;;;
Basics;French Toast;;2;3;2;;;
Basics;Buckwheat w Körnige Frischkäse;;2;3;2;;;
Basics;Quinoa;;2;3;1;;;
Basics;Rice;;3;2;1;;;
Basics;Porridge;;3;3;1;;;
Basics;Potatoes with kartoffelcreme;;3;2;2;;1;
Basics;Boiled potatos;;3;2;1;;;
Basics;mashed potatos;;1;2;3;;1;
DIY;Wraps (Beans, Corn, Chicken…);;2;3;3;;;
DIY;Sushi;;2;3;3;;;
DIY;Egg Sandwich / Toastie;with Avocado, cheese, ham etc.;3;2;3;;;
Frozen/Instant;Frozen Paella;;3;2;3;;;
Frozen/Instant;Frozen Hühnerfrikassee;;3;2;3;;;
Frozen/Instant;Frozen Seafood Pasta ;;3;2;3;;;
Frozen/Instant;Baked Beans Can;;3;1;2;;;
Just Oven;Sweet Potato filled with feta;;3;3;3;;;
Just Oven;Baked Pumpkin;;3;3;1;;;
Pasta;Spinach Pasta;;2;3;3;;1;
Casserole;Basil Feta Tomato Pasta;;1;3;3;;;
Baking;Bottomless Quiche;;1;3;3;;;
salad;Bulgur Salad;;2;3;2;;;
Basics;Bulgur;;2;3;2;;;
salad;Couscous salad;;2;3;2;;;
mädi test;testttt;test;testopesto;1;1;1;1;1
